No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Kießling, Stefan",Bayer Leverkusen,Sturm,34,25,124,"20,16%","120,8"
2,"Lewandowski, Robert",Borussia Dortmund,Sturm,31,24,101,"23,76%","108,13"
3,"Meier, Alexander",Eintracht Frankfurt,Sturm,31,16,89,"17,98%","170,38"
4,"Ibišević, Vedad",VfB Stuttgart,Sturm,30,15,63,"23,81%","177,6"
4,"Mandžukić, Mario",Bayern München,Sturm,24,15,68,"22,06%","116,27"
6,"Reus, Marco",Borussia Dortmund,Sturm,32,14,84,"16,67%","167,86"
7,"Szalai, Ádám",1. FSV Mainz 05,Sturm,29,13,60,"21,67%",185
7,"Müller, Thomas",Bayern München,Sturm,28,13,67,"19,40%","161,38"
9,"Rudņevs, Artjoms",Hamburger SV,Sturm,34,12,74,"16,22%","202,33"
9,"Son, Heung-min",Hamburger SV,Sturm,33,12,78,"15,38%","225,42"
9,"Diouf, Mame",Hannover 96,Sturm,28,12,61,"19,67%","179,42"
12,"Petersen, Nils",Werder Bremen,Sturm,34,11,91,"12,09%","249,55"
12,"Kruse, Max",SC Freiburg,Sturm,34,11,80,"13,75%","268,09"
12,"Schürrle, André",Bayer Leverkusen,Sturm,34,11,126,"8,73%","257,36"
12,"Schmid, Jonathan",SC Freiburg,Mittelfeld,33,11,58,"18,97%","263,64"
12,"Hunt, Aaron",Werder Bremen,Mittelfeld,28,11,84,"13,10%","213,27"
12,"Błaszczykowski, Jakub",Borussia Dortmund,Mittelfeld,27,11,51,"21,57%","176,45"
12,"Gomez, Mario",Bayern München,Sturm,21,11,36,"30,56%","80,73"
19,"De Bruyne, Kevin",Werder Bremen,Mittelfeld,33,10,92,"10,87%","296,6"
19,Diego,VfL Wolfsburg,Mittelfeld,32,10,68,"14,71%",288
19,"Draxler, Julian",FC Schalke 04,Mittelfeld,30,10,60,"16,67%","214,5"
19,"Götze, Mario",Borussia Dortmund,Mittelfeld,28,10,56,"17,86%","203,1"
19,"Ribéry, Franck",Bayern München,Mittelfeld,27,10,68,"14,71%","211,6"
19,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,26,10,80,"12,50%",223
19,"Mölders, Sascha",FC Augsburg,Sturm,24,10,56,"17,86%","188,3"
26,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,34,9,39,"23,08%","314,89"
26,"Olić, Ivica",VfL Wolfsburg,Sturm,32,9,54,"16,67%","269,89"
26,"Huszti, Szabolcs",Hannover 96,Mittelfeld,21,9,23,"39,13%","183,78"
29,"Müller, Nicolai",1. FSV Mainz 05,Mittelfeld,32,8,41,"19,51%","296,5"
29,"Schahin, Dani",Fortuna Düsseldorf,Sturm,31,8,46,"17,39%","222,13"
29,"Dost, Bas",VfL Wolfsburg,Sturm,28,8,49,"16,33%","249,63"
29,"Abdellaoue, Mohammed",Hannover 96,Sturm,26,8,22,"36,36%","130,63"
33,"Ivanschitz, Andreas",1. FSV Mainz 05,Mittelfeld,31,7,69,"10,14%","328,57"
33,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,28,7,45,"15,56%","336,86"
33,"Ya Konan, Didier",Hannover 96,Sturm,28,7,66,"10,61%","283,29"
33,"Reisinger, Stefan",Fortuna Düsseldorf,Sturm,24,7,25,"28,00%","200,86"
33,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,20,7,44,"15,91%","182,29"
38,"Volland, Kevin",1899 Hoffenheim,Sturm,34,6,53,"11,32%","449,5"
38,"Inui, Takashi",Eintracht Frankfurt,Mittelfeld,33,6,86,"6,98%","441,17"
38,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,32,6,46,"13,04%",417
38,"Castro, Gonzalo",Bayer Leverkusen,Mittelfeld,31,6,60,"10,00%","420,5"
38,Naldo,VfL Wolfsburg,Abwehr,31,6,36,"16,67%","451,17"
38,"Nilsson, Per",1. FC Nürnberg,Abwehr,29,6,24,"25,00%","427,17"
38,"Farfán, Jefferson",FC Schalke 04,Sturm,27,6,50,"12,00%","362,83"
38,"Kroos, Toni",Bayern München,Mittelfeld,24,6,56,"10,71%","320,67"
38,"de Jong, Luuk",Bor. Mönchengladbach,Sturm,23,6,31,"19,35%","236,67"
38,"Pizarro, Claudio",Bayern München,Sturm,20,6,34,"17,65%","126,33"
48,"Simons, Timmy",1. FC Nürnberg,Mittelfeld,34,5,17,"29,41%",606
48,"Gentner, Christian",VfB Stuttgart,Mittelfeld,34,5,43,"11,63%","606,4"
48,Roberto Firmino,1899 Hoffenheim,Mittelfeld,33,5,66,"7,58%",495
48,"Arango, Juan",Bor. Mönchengladbach,Mittelfeld,31,5,74,"6,76%",545
48,"Werner, Tobias",FC Augsburg,Mittelfeld,30,5,68,"7,35%","443,8"
48,"Harnik, Martin",VfB Stuttgart,Sturm,30,5,61,"8,20%","501,4"
48,"Caligiuri, Daniel",SC Freiburg,Mittelfeld,29,5,70,"7,14%","489,8"
48,"van der Vaart, Rafael",Hamburger SV,Mittelfeld,27,5,62,"8,06%",458
48,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,26,5,15,"33,33%",455
48,"Arnautović, Marko",Werder Bremen,Sturm,26,5,68,"7,35%",393
48,"Polter, Sebastian",1. FC Nürnberg,Sturm,26,5,24,"20,83%","218,4"
48,"Sobiech, Artur",Hannover 96,Sturm,25,5,19,"26,32%",186
48,Joselu,1899 Hoffenheim,Sturm,25,5,57,"8,77%","321,2"
48,"Sam, Sidney",Bayer Leverkusen,Mittelfeld,22,5,37,"13,51%",192
48,"Ji, Dong-won",FC Augsburg,Sturm,17,5,41,"12,20%",299
48,"Robben, Arjen",Bayern München,Sturm,16,5,46,"10,87%","197,8"
48,"Schipplock, Sven",1899 Hoffenheim,Sturm,16,5,16,"31,25%","114,8"
48,"Đurđić, Nikola",SpVgg Greuther Fürth,Sturm,15,5,29,"17,24%","242,4"
66,"Hanke, Mike",Bor. Mönchengladbach,Sturm,32,4,36,"11,11%","338,25"
66,"Kiyotake, Hiroshi",1. FC Nürnberg,Mittelfeld,31,4,35,"11,43%","640,25"
66,"Pekhart, Tomáš",1. FC Nürnberg,Sturm,31,4,43,"9,30%",505
66,"Kruse, Robbie",Fortuna Düsseldorf,Mittelfeld,30,4,34,"11,76%","640,5"
66,"Shaqiri, Xherdan",Bayern München,Mittelfeld,26,4,40,"10,00%","345,25"
66,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,25,4,31,"12,90%","265,25"
66,"Feulner, Markus",1. FC Nürnberg,Mittelfeld,23,4,32,"12,50%","383,75"
66,Luiz Gustavo,Bayern München,Mittelfeld,22,4,13,"30,77%","365,25"
66,"Lakić, Srđan",Eintracht Frankfurt,Sturm,22,4,24,"16,67%","226,75"
66,"Rosenthal, Jan",SC Freiburg,Mittelfeld,20,4,35,"11,43%","369,5"
66,"Holtby, Lewis",FC Schalke 04,Mittelfeld,19,4,29,"13,79%","364,75"
66,Michel Bastos,FC Schalke 04,Mittelfeld,14,4,39,"10,26%",270
78,"Westermann, Heiko",Hamburger SV,Abwehr,34,3,27,"11,11%","1011,33"
78,"Bender, Lars",Bayer Leverkusen,Mittelfeld,33,3,40,"7,50%",930
78,"Traoré, Ibrahima",VfB Stuttgart,Mittelfeld,32,3,39,"7,69%","776,67"
78,"Matip, Joel",FC Schalke 04,Abwehr,32,3,13,"23,08%","957,67"
78,"Bellinghausen, Axel",Fortuna Düsseldorf,Mittelfeld,31,3,18,"16,67%","732,33"
78,"Neustädter, Roman",FC Schalke 04,Mittelfeld,31,3,26,"11,54%","890,67"
78,"Johnson, Fabian",1899 Hoffenheim,Abwehr,31,3,16,"18,75%","892,67"
78,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,30,3,34,"8,82%","771,67"
78,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,30,3,28,"10,71%",822
78,"Rausch, Konstantin",Hannover 96,Mittelfeld,30,3,19,"15,79%","779,67"
78,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,29,3,14,"21,43%","815,67"
78,"Makiadi, Cédric",SC Freiburg,Mittelfeld,29,3,34,"8,82%",756
78,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,28,3,38,"7,89%",709
78,Javi Martínez,Bayern München,Abwehr,27,3,25,"12,00%","588,67"
78,"Hegeler, Jens",Bayer Leverkusen,Mittelfeld,27,3,21,"14,29%","270,67"
78,"Prib, Edgar",SpVgg Greuther Fürth,Mittelfeld,27,3,52,"5,77%","762,33"
78,"Fink, Oliver",Fortuna Düsseldorf,Mittelfeld,26,3,21,"14,29%","621,67"
78,"Subotić, Neven",Borussia Dortmund,Abwehr,25,3,19,"15,79%",747
78,"Schieber, Julian",Borussia Dortmund,Sturm,23,3,26,"11,54%","267,67"
78,"Beister, Maximilian",Hamburger SV,Mittelfeld,23,3,43,"6,98%","315,33"
78,"Alaba, David",Bayern München,Abwehr,23,3,24,"12,50%","664,67"
78,"de Camargo, Igor",1899 Hoffenheim,Sturm,22,3,18,"16,67%",327
78,"Höger, Marco",FC Schalke 04,Mittelfeld,22,3,17,"17,65%","459,67"
78,"Koo, Ja-cheol",FC Augsburg,Mittelfeld,21,3,40,"7,50%","533,67"
78,"Lanig, Martin",Eintracht Frankfurt,Mittelfeld,19,3,10,"30,00%","122,33"
78,"Pukki, Teemu",FC Schalke 04,Sturm,17,3,18,"16,67%","149,67"
78,"Stieber, Zoltán",SpVgg Greuther Fürth,Mittelfeld,16,3,14,"21,43%","394,33"
78,"Parker, Shawn",1. FSV Mainz 05,Sturm,16,3,28,"10,71%",276
78,"Şahin, Nuri",Borussia Dortmund,Mittelfeld,15,3,22,"13,64%",299
78,"Marica, Ciprian",FC Schalke 04,Sturm,13,3,15,"20,00%","238,67"
78,"Hrgota, Branimir",Bor. Mönchengladbach,Sturm,13,3,9,"33,33%","125,33"
78,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,6,3,9,"33,33%","135,33"
110,"Baier, Daniel",FC Augsburg,Mittelfeld,33,2,36,"5,56%",1475
110,"Noveski, Nikolče",1. FSV Mainz 05,Abwehr,32,2,10,"20,00%",1440
110,"Klose, Timm",1. FC Nürnberg,Abwehr,32,2,12,"16,67%",1400
110,"Wollscheid, Philipp",Bayer Leverkusen,Abwehr,31,2,20,"10,00%",1395
110,"Schlaudraff, Jan",Hannover 96,Sturm,30,2,14,"14,29%","927,5"
110,Sérgio da Silva Pinto,Hannover 96,Mittelfeld,30,2,44,"4,55%","1227,5"
110,Domínguez,Bor. Mönchengladbach,Abwehr,30,2,13,"15,38%",1350
110,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,29,2,27,"7,41%","1266,5"
110,"Bodzek, Adam",Fortuna Düsseldorf,Mittelfeld,29,2,17,"11,76%","1242,5"
110,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,29,2,19,"10,53%","877,5"
110,"Schwegler, Pirmin",Eintracht Frankfurt,Mittelfeld,27,2,33,"6,06%",1106
110,"Aogo, Dennis",Hamburger SV,Abwehr,27,2,31,"6,45%",981
110,"Ilsø, Ken",Fortuna Düsseldorf,Sturm,27,2,31,"6,45%","587,5"
110,"Esswein, Alexander",1. FC Nürnberg,Sturm,27,2,34,"5,88%",842
110,"Boateng, Jérôme",Bayern München,Abwehr,26,2,8,"25,00%",1123
110,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,24,2,29,"6,90%","1031,5"
110,"Sobiech, Lasse",SpVgg Greuther Fürth,Abwehr,24,2,10,"20,00%",811
110,"Klaus, Felix",SpVgg Greuther Fürth,Mittelfeld,24,2,24,"8,33%","834,5"
110,"Marx, Thorben",Bor. Mönchengladbach,Mittelfeld,23,2,17,"11,76%",999
110,"Hasebe, Makoto",VfL Wolfsburg,Mittelfeld,23,2,10,"20,00%","868,5"
