No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,"Hummels, Mats",Bayern München,Abwehr,16,"69,48%","9,25",148
2,"Söyüncü, Çağlar",SC Freiburg,Abwehr,15,"69,43%","10,6",159
3,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,14,"68,20%","10,57",148
4,"Christensen, Andreas",Bor. Mönchengladbach,Abwehr,15,"66,84%","8,6",129
5,"Bičakčić, Ermin",1899 Hoffenheim,Abwehr,7,"66,67%","5,71",40
6,"Holland, Fabian",SV Darmstadt 98,Abwehr,11,"66,43%","8,45",93
7,Rafinha,Bayern München,Abwehr,9,"66,18%",5,45
8,Javi Martínez,Bayern München,Abwehr,15,"65,85%","7,2",108
9,"Süle, Niklas",1899 Hoffenheim,Abwehr,17,"65,29%","6,53",111
10,"Träsch, Christian",VfL Wolfsburg,Abwehr,6,"65,12%","9,33",56
11,"Sané, Lamine",Werder Bremen,Abwehr,14,"64,38%","7,36",103
12,"Diekmeier, Dennis",Hamburger SV,Abwehr,10,"64,36%","6,5",65
13,"Brooks, John Anthony",Hertha BSC,Abwehr,11,"64,23%",8,88
14,"Langkamp, Sebastian",Hertha BSC,Abwehr,12,"63,56%","6,25",75
15,"Gulde, Manuel",SC Freiburg,Abwehr,11,"63,21%","6,09",67
16,"Hack, Alexander",1. FSV Mainz 05,Abwehr,9,"63,19%","11,44",103
17,Naldo,FC Schalke 04,Abwehr,15,"63,01%","7,27",109
18,"Schmitz, Benno",RB Leipzig,Abwehr,7,"62,96%","7,29",51
19,"Orban, Willi",RB Leipzig,Abwehr,18,"62,83%","10,61",191
20,"Olkowski, Paweł",1. FC Köln,Abwehr,7,"62,62%","9,57",67
21,"Tah, Jonathan",Bayer Leverkusen,Abwehr,15,"61,90%","9,53",143
22,"Abrashi, Amir",SC Freiburg,Mittelfeld,11,"61,49%",9,99
23,"Elvedi, Nico",Bor. Mönchengladbach,Abwehr,15,"61,33%","10,47",157
24,"Passlack, Felix",Borussia Dortmund,Abwehr,6,"61,22%",5,30
25,Torrejón,SC Freiburg,Abwehr,8,"61,18%","6,5",52
26,"Djourou, Johan",Hamburger SV,Abwehr,11,"61,15%","7,73",85
27,"Hinteregger, Martin",FC Augsburg,Abwehr,17,"60,91%","7,88",134
28,"Vestergaard, Jannik",Bor. Mönchengladbach,Abwehr,18,"60,83%","7,33",132
29,"Matip, Marvin",FC Ingolstadt 04,Abwehr,18,"60,39%","6,94",125
30,"Dragović, Aleksandar",Bayer Leverkusen,Abwehr,10,"60,38%","6,4",64
31,"Niemeyer, Peter",SV Darmstadt 98,Mittelfeld,10,"60,28%","8,5",85
32,"Höwedes, Benedikt",FC Schalke 04,Abwehr,17,"60,24%","8,82",150
33,"Ginter, Matthias",Borussia Dortmund,Abwehr,16,"60,19%","8,13",130
34,"Weigl, Julian",Borussia Dortmund,Mittelfeld,17,"60,14%","10,12",172
35,"Stark, Niklas",Hertha BSC,Mittelfeld,17,"59,66%","8,18",139
36,Thiago,Bayern München,Mittelfeld,15,"59,53%","13,53",203
37,"Halstenberg, Marcel",RB Leipzig,Abwehr,18,"59,32%","9,72",175
38,"Hübner, Benjamin",1899 Hoffenheim,Abwehr,13,"59,24%","10,85",141
39,Roger,FC Ingolstadt 04,Mittelfeld,18,"58,96%","8,22",148
40,"Plattenhardt, Marvin",Hertha BSC,Abwehr,16,"58,88%","7,25",116
41,"Stafylidis, Kostas",FC Augsburg,Abwehr,17,"58,65%","9,18",156
42,"Boateng, Jérôme",Bayern München,Abwehr,7,"58,62%","4,86",34
43,"Donati, Giulio",1. FSV Mainz 05,Abwehr,17,"58,58%","9,24",157
44,"Mavraj, Mergim",Hamburger SV,Abwehr,18,"58,56%","8,56",154
45,"Sørensen, Frederik",1. FC Köln,Abwehr,18,"58,23%","10,22",184
46,"Brosinski, Daniel",1. FSV Mainz 05,Abwehr,15,"58,18%","8,53",128
47,"Balogun, Leon",1. FSV Mainz 05,Abwehr,11,"58,00%","7,91",87
48,"Hector, Michael",Eintracht Frankfurt,Abwehr,11,"57,89%",5,55
49,"Henrichs, Benjamin",Bayer Leverkusen,Abwehr,16,"57,80%","11,81",189
50,"Kolašinac, Sead",FC Schalke 04,Abwehr,14,"57,79%","10,86",152
51,"Jungwirth, Florian",SV Darmstadt 98,Abwehr,16,"57,78%","9,75",156
52,"Geis, Johannes",FC Schalke 04,Mittelfeld,15,"57,76%","8,93",134
53,"Vogt, Kevin",1899 Hoffenheim,Mittelfeld,16,"57,52%","4,06",65
54,"García, Santiago",Werder Bremen,Abwehr,12,"57,38%","11,67",140
55,"Ostrzolek, Matthias",Hamburger SV,Abwehr,11,"57,14%","9,45",104
56,Wendell,Bayer Leverkusen,Abwehr,18,"56,96%","9,78",176
57,"Ilsanker, Stefan",RB Leipzig,Mittelfeld,18,"56,64%",9,162
58,"Baumgartlinger, Julian",Bayer Leverkusen,Mittelfeld,10,"56,49%","7,4",74
59,"Skjelbred, Per",Hertha BSC,Mittelfeld,13,"56,42%","9,46",123
60,"Hector, Jonas",1. FC Köln,Abwehr,18,"56,40%","10,78",194
60,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,14,"56,40%","6,93",97
62,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,14,"56,38%","7,57",106
63,"Lahm, Philipp",Bayern München,Abwehr,13,"56,30%","5,85",76
64,"Bruma, Jeffrey",VfL Wolfsburg,Abwehr,17,"56,16%","7,24",123
65,"Knoche, Robin",VfL Wolfsburg,Abwehr,9,"56,03%","7,22",65
66,"Kimmich, Joshua",Bayern München,Mittelfeld,15,"55,97%",5,75
67,Bartra,Borussia Dortmund,Abwehr,10,"55,96%","10,8",108
